time,speed,GPS_long,GPS_lat,GPS_heading,long_accel,lat_accel,vector_accel,vert_accel,hr,scl,LaneChangeLeft,LaneChangeRight,TurnLeft,TurnRight,GoStraight
0,0.240951556,-83.2309615,42.3194039,7.466650009,-0.60703125,-0.26875,0.663864261,0.82421875,86.05753443,68.6260749,0,0,0,0,1
0.1,0.082290002,-83.2309615,42.3194039,7.466650009,-0.607695311,-0.270377612,0.665132064,0.826953125,91.21156391,68.67264199,0,0,0,0,1
0.2,0.012161298,-83.2309615,42.3194039,7.466650009,-0.609322917,-0.27076824,0.666778725,0.82890625,94.87226134,68.75963656,0,0,0,0,1
0.3,0,-83.2309615,42.3194039,1.882300019,-0.609648436,-0.271041673,0.667188197,0.82890625,97.06188137,68.8306061,0,0,0,0,1
0.4,0,-83.2309615,42.3194039,1.882300019,-0.610442704,-0.27178385,0.668215513,0.82578125,97.88680122,68.91030659,0,0,0,0,1
0.5,0,-83.2309615,42.3194039,6.971610069,-0.61016928,-0.271276045,0.667759514,0.827734375,97.52632852,68.98391349,0,0,0,0,1
0.6,0,-83.2309615,42.3194039,6.971610069,-0.609609389,-0.271653643,0.667401093,0.827734375,96.21658579,69.06033542,0,0,0,0,1
0.7,0,-83.2309615,42.3194039,2.878330231,-0.608684897,-0.271510416,0.666499239,0.82578125,94.2308751,69.13039389,0,0,0,0,1
0.8,0,-83.2309615,42.3194039,2.878330231,-0.607278633,-0.271315107,0.665134948,0.831640625,91.85817957,69.19447082,0,0,0,0,1
0.9,0,-83.2309615,42.3194039,2.54858017,-0.606927085,-0.27138021,0.664842182,0.826953125,89.38156543,69.24745289,0,0,0,0,1
1,0,-83.2309615,42.3194039,2.54858017,-0.60639323,-0.270781261,0.66411081,0.830859375,87.05820343,69.33667553,0,0,0,0,1
1.1,0,-83.2309615,42.3194039,5.211550236,-0.606197917,-0.270585945,0.663853204,0.825390625,85.06876824,69.44512008,0,0,0,0,1
1.2,0,-83.2309615,42.3194039,5.211550236,-0.604335946,-0.268867192,0.661452365,0.826953125,83.60116202,69.52553974,0,0,0,0,1
1.3,0,-83.2309615,42.3194039,8.315349579,-0.600794268,-0.265442705,0.656848335,0.83203125,82.75639869,69.58135578,0,0,0,0,1
1.4,0,-83.2309615,42.3194039,8.315349579,-0.599388021,-0.268984374,0.657282424,0.83125,82.57218852,69.65282723,0,0,0,0,1
1.5,0,-83.2309615,42.3194039,19.27619934,-0.583841145,-0.265898439,0.643031549,0.79921875,83.02589176,69.71714612,0,0,0,0,1
1.6,0,-83.2309615,42.3194039,19.27619934,-0.54779948,-0.306940103,0.635080987,0.824609375,84.04205256,69.79066339,0,0,0,0,1
1.7,0,-83.2309615,42.3194039,13.67731094,-0.499830732,-0.298242185,0.600656223,0.93125,85.50360605,69.82663521,0,0,0,0,1
1.8,0,-83.2309615,42.3194039,13.67731094,-0.475820312,-0.341718751,0.605630171,0.8390625,87.26559248,69.86897867,0,0,0,0,1
1.9,0,-83.2309615,42.3194039,13.67731094,-0.472473955,-0.364947918,0.616410905,0.888671875,89.17006816,69.92713459,0,0,0,0,1
2,0,-83.2309615,42.3194039,13.67731094,-0.473763022,-0.41839844,0.637020439,0.846484375,91.06087945,69.99080126,0,0,0,0,1
2.1,0,-83.2309615,42.3194039,8.741650581,-0.486054689,-0.420338538,0.645769745,0.902734375,92.76370277,70.06768824,0,0,0,0,1
2.2,0,-83.2309615,42.3194039,8.741650581,-0.493632808,-0.413320315,0.647430199,0.8421875,94.19204621,70.11966792,0,0,0,0,1
2.3,0,-83.2309615,42.3194039,10.1374197,-0.492486978,-0.395781246,0.63727091,0.822265625,95.26930068,70.15891807,0,0,0,0,1
2.4,0,-83.2309615,42.3194039,10.1374197,-0.453437495,-0.423346359,0.629247481,0.83203125,95.9580109,70.22786863,0,0,0,0,1
2.5,0,-83.2309615,42.3194039,15.1902504,-0.439374998,-0.42464844,0.618882567,0.878125,96.2597784,70.30253068,0,0,0,0,1
2.6,0,-83.2309615,42.3194039,15.1902504,-0.43144531,-0.446822917,0.624795085,0.827734375,96.21153544,70.38308454,0,0,0,0,1
2.7,0,-83.2309615,42.3194039,15.1902504,-0.394635418,-0.438111979,0.596096539,0.803515625,95.87879536,70.45448051,0,0,0,0,1
2.8,0,-83.2309615,42.3194039,15.1902504,-0.305872396,-0.431197917,0.539198744,0.908203125,95.3467288,70.53136088,0,0,0,0,1
